county_name,state,year,fips,merge_key,drug_deaths,drug_quantity,population,death_rate,ship_rate
"AUTAUGA COUNTY, AL",AL,2003,01001 ,010012003,,,54571,,
"AUTAUGA COUNTY, AL",AL,2004,01001 ,010012004,,,54571,,
"AUTAUGA COUNTY, AL",AL,2005,01001 ,010012005,,,54571,,
"AUTAUGA COUNTY, AL",AL,2006,01001 ,010012006,,20569.0,54571,,37692.18082864525
"AUTAUGA COUNTY, AL",AL,2007,01001 ,010012007,,12550.0,54571,,22997.56280808488
"AUTAUGA COUNTY, AL",AL,2008,01001 ,010012008,,13624.0,54571,,24965.64109142218
"AUTAUGA COUNTY, AL",AL,2009,01001 ,010012009,,28583.0,54571,,52377.63647358488
"AUTAUGA COUNTY, AL",AL,2010,01001 ,010012010,,30259.0,54571,,55448.86478166059
"AUTAUGA COUNTY, AL",AL,2011,01001 ,010012011,,29432.0,54571,,53933.40785398838
"AUTAUGA COUNTY, AL",AL,2012,01001 ,010012012,,30257.0,54571,,55445.19983141228
"AUTAUGA COUNTY, AL",AL,2013,01001 ,010012013,,28822.0,54571,,52815.59802825677
"AUTAUGA COUNTY, AL",AL,2014,01001 ,010012014,,25913.0,54571,,47484.927892103864
"AUTAUGA COUNTY, AL",AL,2015,01001 ,010012015,,,54571,,
"BALDWIN COUNTY, AL",AL,2003,01003 ,010032003,10.0,,182265,5.486516884755713,
"BALDWIN COUNTY, AL",AL,2004,01003 ,010032004,18.0,,182265,9.875730392560282,
"BALDWIN COUNTY, AL",AL,2005,01003 ,010032005,14.0,,182265,7.681123638657998,
"BALDWIN COUNTY, AL",AL,2006,01003 ,010032006,11.0,36482.0,182265,6.035168573231284,20015.91089896579
"BALDWIN COUNTY, AL",AL,2007,01003 ,010032007,24.0,43172.0,182265,13.167640523413711,23686.39069486736
"BALDWIN COUNTY, AL",AL,2008,01003 ,010032008,19.0,48364.0,182265,10.424382081035855,26534.99026143253
"BALDWIN COUNTY, AL",AL,2009,01003 ,010032009,29.0,58442.0,182265,15.910898965791569,32064.301977889336
"BALDWIN COUNTY, AL",AL,2010,01003 ,010032010,24.0,68091.0,182265,13.167640523413711,37358.24211999013
"BALDWIN COUNTY, AL",AL,2011,01003 ,010032011,23.0,92472.0,182265,12.618988834938138,50734.918936713024
"BALDWIN COUNTY, AL",AL,2012,01003 ,010032012,24.0,229774.0,182265,13.167640523413711,126065.8930677859
"BALDWIN COUNTY, AL",AL,2013,01003 ,010032013,20.0,467587.0,182265,10.973033769511426,256542.39705922696
"BALDWIN COUNTY, AL",AL,2014,01003 ,010032014,32.0,165990.0,182265,17.556854031218283,91070.69377006007
"BALDWIN COUNTY, AL",AL,2015,01003 ,010032015,40.0,,182265,21.946067539022852,
"BARBOUR COUNTY, AL",AL,2003,01005 ,010052003,,,27457,,
"BARBOUR COUNTY, AL",AL,2004,01005 ,010052004,,,27457,,
"BARBOUR COUNTY, AL",AL,2005,01005 ,010052005,,,27457,,
"BARBOUR COUNTY, AL",AL,2006,01005 ,010052006,,4234.0,27457,,15420.475652838986
"BARBOUR COUNTY, AL",AL,2007,01005 ,010052007,,4617.0,27457,,16815.384055067923
"BARBOUR COUNTY, AL",AL,2008,01005 ,010052008,,4883.0,27457,,17784.17161379612
"BARBOUR COUNTY, AL",AL,2009,01005 ,010052009,,5639.0,27457,,20537.567833339403
"BARBOUR COUNTY, AL",AL,2010,01005 ,010052010,,6676.0,27457,,24314.382488982774
"BARBOUR COUNTY, AL",AL,2011,01005 ,010052011,,6924.0,27457,,25217.612994864696
"BARBOUR COUNTY, AL",AL,2012,01005 ,010052012,,7936.0,27457,,28903.376188221584
"BARBOUR COUNTY, AL",AL,2013,01005 ,010052013,,7508.0,27457,,27344.575153876973
"BARBOUR COUNTY, AL",AL,2014,01005 ,010052014,,5755.0,27457,,20960.04661834869
"BARBOUR COUNTY, AL",AL,2015,01005 ,010052015,,,27457,,
"BIBB COUNTY, AL",AL,2003,01007 ,010072003,,,22915,,
"BIBB COUNTY, AL",AL,2004,01007 ,010072004,,,22915,,
"BIBB COUNTY, AL",AL,2005,01007 ,010072005,,,22915,,
"BIBB COUNTY, AL",AL,2006,01007 ,010072006,,2863.0,22915,,12493.999563604626
"BIBB COUNTY, AL",AL,2007,01007 ,010072007,,3380.0,22915,,14750.16364826533
"BIBB COUNTY, AL",AL,2008,01007 ,010072008,,4039.0,22915,,17626.009164302857
"BIBB COUNTY, AL",AL,2009,01007 ,010072009,,4062.0,22915,,17726.380100370938
"BIBB COUNTY, AL",AL,2010,01007 ,010072010,,4016.0,22915,,17525.63822823478
"BIBB COUNTY, AL",AL,2011,01007 ,010072011,,4985.0,22915,,21754.309404320316
"BIBB COUNTY, AL",AL,2012,01007 ,010072012,,5738.0,22915,,25040.366572114337
"BIBB COUNTY, AL",AL,2013,01007 ,010072013,,6518.0,22915,,28444.250490944796
"BIBB COUNTY, AL",AL,2014,01007 ,010072014,,6197.0,22915,,27043.4213397338
"BIBB COUNTY, AL",AL,2015,01007 ,010072015,,,22915,,
"BLOUNT COUNTY, AL",AL,2003,01009 ,010092003,,,57322,,
"BLOUNT COUNTY, AL",AL,2004,01009 ,010092004,,,57322,,
"BLOUNT COUNTY, AL",AL,2005,01009 ,010092005,,,57322,,
"BLOUNT COUNTY, AL",AL,2006,01009 ,010092006,,5247.0,57322,,9153.553609434422
"BLOUNT COUNTY, AL",AL,2007,01009 ,010092007,,5509.0,57322,,9610.62070409267
"BLOUNT COUNTY, AL",AL,2008,01009 ,010092008,15.0,6138.0,57322,26.16796343463243,10707.930637451589
"BLOUNT COUNTY, AL",AL,2009,01009 ,010092009,,7191.0,57322,,12544.921670562786
"BLOUNT COUNTY, AL",AL,2010,01009 ,010092010,,7447.0,57322,,12991.521579847178
"BLOUNT COUNTY, AL",AL,2011,01009 ,010092011,,9748.0,57322,,17005.687170719793
"BLOUNT COUNTY, AL",AL,2012,01009 ,010092012,15.0,11101.0,57322,26.16796343463243,19366.03747252364
"BLOUNT COUNTY, AL",AL,2013,01009 ,010092013,10.0,11188.0,57322,17.44530895642162,19517.811660444506
"BLOUNT COUNTY, AL",AL,2014,01009 ,010092014,11.0,9591.0,57322,19.18983985206378,16731.795820103973
"BLOUNT COUNTY, AL",AL,2015,01009 ,010092015,11.0,,57322,19.18983985206378,
"BULLOCK COUNTY, AL",AL,2003,01011 ,010112003,,,10914,,
"BULLOCK COUNTY, AL",AL,2004,01011 ,010112004,,,10914,,
"BULLOCK COUNTY, AL",AL,2005,01011 ,010112005,,,10914,,
"BULLOCK COUNTY, AL",AL,2006,01011 ,010112006,,668.0,10914,,6120.5790727505955
"BULLOCK COUNTY, AL",AL,2007,01011 ,010112007,,752.0,10914,,6890.232728605461
"BULLOCK COUNTY, AL",AL,2008,01011 ,010112008,,877.0,10914,,8035.550668865678
"BULLOCK COUNTY, AL",AL,2009,01011 ,010112009,,1218.0,10914,,11159.978009895547
"BULLOCK COUNTY, AL",AL,2010,01011 ,010112010,,1278.0,10914,,11709.73062122045
"BULLOCK COUNTY, AL",AL,2011,01011 ,010112011,,1477.0,10914,,13533.076782114715
"BULLOCK COUNTY, AL",AL,2012,01011 ,010112012,,1748.0,10914,,16016.126076598863
"BULLOCK COUNTY, AL",AL,2013,01011 ,010112013,,1766.0,10914,,16181.051859996334
"BULLOCK COUNTY, AL",AL,2014,01011 ,010112014,,1048.0,10914,,9602.345611141654
"BULLOCK COUNTY, AL",AL,2015,01011 ,010112015,,,10914,,
"BUTLER COUNTY, AL",AL,2003,01013 ,010132003,,,20947,,
"BUTLER COUNTY, AL",AL,2004,01013 ,010132004,,,20947,,
"BUTLER COUNTY, AL",AL,2005,01013 ,010132005,,,20947,,
"BUTLER COUNTY, AL",AL,2006,01013 ,010132006,,4585.0,20947,,21888.57592972741
"BUTLER COUNTY, AL",AL,2007,01013 ,010132007,,5972.0,20947,,28510.0491717191
"BUTLER COUNTY, AL",AL,2008,01013 ,010132008,,6924.0,20947,,33054.85272354036
"BUTLER COUNTY, AL",AL,2009,01013 ,010132009,,7494.0,20947,,35776.00611066024
"BUTLER COUNTY, AL",AL,2010,01013 ,010132010,,8087.0,20947,,38606.960423927056
"BUTLER COUNTY, AL",AL,2011,01013 ,010132011,,8573.0,20947,,40927.101732945055
"BUTLER COUNTY, AL",AL,2012,01013 ,010132012,,7846.0,20947,,37456.437676039524
"BUTLER COUNTY, AL",AL,2013,01013 ,010132013,,6524.0,20947,,31145.271399245717
"BUTLER COUNTY, AL",AL,2014,01013 ,010132014,,5609.0,20947,,26777.104119921707
"BUTLER COUNTY, AL",AL,2015,01013 ,010132015,,,20947,,
"CALHOUN COUNTY, AL",AL,2003,01015 ,010152003,,,118572,,
"CALHOUN COUNTY, AL",AL,2004,01015 ,010152004,,,118572,,
"CALHOUN COUNTY, AL",AL,2005,01015 ,010152005,,,118572,,
"CALHOUN COUNTY, AL",AL,2006,01015 ,010152006,,30583.0,118572,,25792.76726377222
"CALHOUN COUNTY, AL",AL,2007,01015 ,010152007,11.0,35078.0,118572,9.277063724994097,29583.712849576626
"CALHOUN COUNTY, AL",AL,2008,01015 ,010152008,17.0,37778.0,118572,14.337280302263602,31860.810309347908
"CALHOUN COUNTY, AL",AL,2009,01015 ,010152009,12.0,41901.0,118572,10.120433154539015,35338.0224673616
"CALHOUN COUNTY, AL",AL,2010,01015 ,010152010,19.0,46792.0,118572,16.02401916135344,39462.942347265795
"CALHOUN COUNTY, AL",AL,2011,01015 ,010152011,12.0,55200.0,118572,10.120433154539015,46553.99251087946
"CALHOUN COUNTY, AL",AL,2012,01015 ,010152012,,64652.0,118572,,54525.520358938025
"CALHOUN COUNTY, AL",AL,2013,01015 ,010152013,,62027.0,118572,,52311.675606382625
