COUNTY_NAME,POPULATION,STATE
"AUTAUGA COUNTY, AL",54571,AL
"BALDWIN COUNTY, AL",182265,AL
"BARBOUR COUNTY, AL",27457,AL
"BIBB COUNTY, AL",22915,AL
"BLOUNT COUNTY, AL",57322,AL
"BULLOCK COUNTY, AL",10914,AL
"BUTLER COUNTY, AL",20947,AL
"CALHOUN COUNTY, AL",118572,AL
"CHAMBERS COUNTY, AL",34215,AL
"CHEROKEE COUNTY, AL",25989,AL
"CHILTON COUNTY, AL",43643,AL
"CHOCTAW COUNTY, AL",13859,AL
"CLARKE COUNTY, AL",25833,AL
"CLAY COUNTY, AL",13932,AL
"CLEBURNE COUNTY, AL",14972,AL
"COFFEE COUNTY, AL",49948,AL
"COLBERT COUNTY, AL",54428,AL
"CONECUH COUNTY, AL",13228,AL
"COOSA COUNTY, AL",11539,AL
"COVINGTON COUNTY, AL",37765,AL
"CRENSHAW COUNTY, AL",13906,AL
"CULLMAN COUNTY, AL",80406,AL
"DALE COUNTY, AL",50251,AL
"DALLAS COUNTY, AL",43820,AL
"DEKALB COUNTY, AL",71109,AL
"ELMORE COUNTY, AL",79303,AL
"ESCAMBIA COUNTY, AL",38319,AL
"ETOWAH COUNTY, AL",104430,AL
"FAYETTE COUNTY, AL",17241,AL
"FRANKLIN COUNTY, AL",31704,AL
"GENEVA COUNTY, AL",26790,AL
"GREENE COUNTY, AL",9045,AL
"HALE COUNTY, AL",15760,AL
"HENRY COUNTY, AL",17302,AL
"HOUSTON COUNTY, AL",101547,AL
"JACKSON COUNTY, AL",53227,AL
"JEFFERSON COUNTY, AL",658466,AL
"LAMAR COUNTY, AL",14564,AL
"LAUDERDALE COUNTY, AL",92709,AL
"LAWRENCE COUNTY, AL",34339,AL
"LEE COUNTY, AL",140247,AL
"LIMESTONE COUNTY, AL",82782,AL
"LOWNDES COUNTY, AL",11299,AL
"MACON COUNTY, AL",21452,AL
"MADISON COUNTY, AL",334811,AL
"MARENGO COUNTY, AL",21027,AL
"MARION COUNTY, AL",30776,AL
"MARSHALL COUNTY, AL",93019,AL
"MOBILE COUNTY, AL",412992,AL
"MONROE COUNTY, AL",23068,AL
"MONTGOMERY COUNTY, AL",229363,AL
"MORGAN COUNTY, AL",119490,AL
"PERRY COUNTY, AL",10591,AL
"PICKENS COUNTY, AL",19746,AL
"PIKE COUNTY, AL",32899,AL
"RANDOLPH COUNTY, AL",22913,AL
"RUSSELL COUNTY, AL",52947,AL
"ST. CLAIR COUNTY, AL",83593,AL
"SHELBY COUNTY, AL",195085,AL
"SUMTER COUNTY, AL",13763,AL
"TALLADEGA COUNTY, AL",82291,AL
"TALLAPOOSA COUNTY, AL",41616,AL
"TUSCALOOSA COUNTY, AL",194656,AL
"WALKER COUNTY, AL",67023,AL
"WASHINGTON COUNTY, AL",17581,AL
"WILCOX COUNTY, AL",11670,AL
"WINSTON COUNTY, AL",24484,AL
"APACHE COUNTY, AZ",71518,AZ
"COCHISE COUNTY, AZ",131346,AZ
"COCONINO COUNTY, AZ",134421,AZ
"GILA COUNTY, AZ",53597,AZ
"GRAHAM COUNTY, AZ",37220,AZ
"GREENLEE COUNTY, AZ",8437,AZ
"LA PAZ COUNTY, AZ",20489,AZ
"MARICOPA COUNTY, AZ",3817117,AZ
"MOHAVE COUNTY, AZ",200186,AZ
"NAVAJO COUNTY, AZ",107449,AZ
"PIMA COUNTY, AZ",980263,AZ
"PINAL COUNTY, AZ",375770,AZ
"SANTA CRUZ COUNTY, AZ",47420,AZ
"YAVAPAI COUNTY, AZ",211033,AZ
"YUMA COUNTY, AZ",195751,AZ
"ALAMEDA COUNTY, CA",1510271,CA
"ALPINE COUNTY, CA",1175,CA
"AMADOR COUNTY, CA",38091,CA
"BUTTE COUNTY, CA",220000,CA
"CALAVERAS COUNTY, CA",45578,CA
"COLUSA COUNTY, CA",21419,CA
"CONTRA COSTA COUNTY, CA",1049025,CA
"DEL NORTE COUNTY, CA",28610,CA
"EL DORADO COUNTY, CA",181058,CA
"FRESNO COUNTY, CA",930450,CA
"GLENN COUNTY, CA",28122,CA
"HUMBOLDT COUNTY, CA",134623,CA
"IMPERIAL COUNTY, CA",174528,CA
"INYO COUNTY, CA",18546,CA
"KERN COUNTY, CA",839631,CA
"KINGS COUNTY, CA",152982,CA
"LAKE COUNTY, CA",64665,CA
"LASSEN COUNTY, CA",34895,CA
"LOS ANGELES COUNTY, CA",9818605,CA
"MADERA COUNTY, CA",150865,CA
"MARIN COUNTY, CA",252409,CA
"MARIPOSA COUNTY, CA",18251,CA
"MENDOCINO COUNTY, CA",87841,CA
"MERCED COUNTY, CA",255793,CA
"MODOC COUNTY, CA",9686,CA
"MONO COUNTY, CA",14202,CA
"MONTEREY COUNTY, CA",415057,CA
"NAPA COUNTY, CA",136484,CA
"NEVADA COUNTY, CA",98764,CA
"ORANGE COUNTY, CA",3010232,CA
"PLACER COUNTY, CA",348432,CA
"PLUMAS COUNTY, CA",20007,CA
"RIVERSIDE COUNTY, CA",2189641,CA
"SACRAMENTO COUNTY, CA",1418788,CA
"SAN BENITO COUNTY, CA",55269,CA
"SAN BERNARDINO COUNTY, CA",2035210,CA
"SAN DIEGO COUNTY, CA",3095313,CA
"SAN FRANCISCO COUNTY, CA",805235,CA
"SAN JOAQUIN COUNTY, CA",685306,CA
"SAN LUIS OBISPO COUNTY, CA",269637,CA
"SAN MATEO COUNTY, CA",718451,CA
"SANTA BARBARA COUNTY, CA",423895,CA
"SANTA CLARA COUNTY, CA",1781642,CA
"SANTA CRUZ COUNTY, CA",262382,CA
"SHASTA COUNTY, CA",177223,CA
"SIERRA COUNTY, CA",3240,CA
"SISKIYOU COUNTY, CA",44900,CA
"SOLANO COUNTY, CA",413344,CA
"SONOMA COUNTY, CA",483878,CA
"STANISLAUS COUNTY, CA",514453,CA
"SUTTER COUNTY, CA",94737,CA
"TEHAMA COUNTY, CA",63463,CA
"TRINITY COUNTY, CA",13786,CA
"TULARE COUNTY, CA",442179,CA
"TUOLUMNE COUNTY, CA",55365,CA
"VENTURA COUNTY, CA",823318,CA
"YOLO COUNTY, CA",200849,CA
"YUBA COUNTY, CA",72155,CA
"ALACHUA COUNTY, FL",247336,FL
"BAKER COUNTY, FL",27115,FL
"BAY COUNTY, FL",168852,FL
"BRADFORD COUNTY, FL",28520,FL
"BREVARD COUNTY, FL",543376,FL
"BROWARD COUNTY, FL",1748066,FL
"CALHOUN COUNTY, FL",14625,FL
"CHARLOTTE COUNTY, FL",159978,FL
"CITRUS COUNTY, FL",141236,FL
"CLAY COUNTY, FL",190865,FL
"COLLIER COUNTY, FL",321520,FL
"COLUMBIA COUNTY, FL",67531,FL
"DESOTO COUNTY, FL",34862,FL
"DIXIE COUNTY, FL",16422,FL
"DUVAL COUNTY, FL",864263,FL
"ESCAMBIA COUNTY, FL",297619,FL
"FLAGLER COUNTY, FL",95696,FL
"FRANKLIN COUNTY, FL",11549,FL
"GADSDEN COUNTY, FL",46389,FL
"GILCHRIST COUNTY, FL",16939,FL
"GLADES COUNTY, FL",12884,FL
"GULF COUNTY, FL",15863,FL
"HAMILTON COUNTY, FL",14799,FL
"HARDEE COUNTY, FL",27731,FL
"HENDRY COUNTY, FL",39140,FL
"HERNANDO COUNTY, FL",172778,FL
"HIGHLANDS COUNTY, FL",98786,FL
"HILLSBOROUGH COUNTY, FL",1229226,FL
"HOLMES COUNTY, FL",19927,FL
"INDIAN RIVER COUNTY, FL",138028,FL
"JACKSON COUNTY, FL",49746,FL
"JEFFERSON COUNTY, FL",14761,FL
"LAFAYETTE COUNTY, FL",8870,FL
"LAKE COUNTY, FL",297052,FL
"LEE COUNTY, FL",618754,FL
"LEON COUNTY, FL",275487,FL
"LEVY COUNTY, FL",40801,FL
"LIBERTY COUNTY, FL",8365,FL
"MADISON COUNTY, FL",19224,FL
"MANATEE COUNTY, FL",322833,FL
"MARION COUNTY, FL",331298,FL
"MARTIN COUNTY, FL",146318,FL
"MIAMI-DADE COUNTY, FL",2496435,FL
"MONROE COUNTY, FL",73090,FL
"NASSAU COUNTY, FL",73314,FL
"OKALOOSA COUNTY, FL",180822,FL
"OKEECHOBEE COUNTY, FL",39996,FL
"ORANGE COUNTY, FL",1145956,FL
"OSCEOLA COUNTY, FL",268685,FL
"PALM BEACH COUNTY, FL",1320134,FL
"PASCO COUNTY, FL",464697,FL
"PINELLAS COUNTY, FL",916542,FL
"POLK COUNTY, FL",602095,FL
"PUTNAM COUNTY, FL",74364,FL
"ST. JOHNS COUNTY, FL",190039,FL
"ST. LUCIE COUNTY, FL",277789,FL
"SANTA ROSA COUNTY, FL",151372,FL
"SARASOTA COUNTY, FL",379448,FL
"SEMINOLE COUNTY, FL",422718,FL
"SUMTER COUNTY, FL",93420,FL
"SUWANNEE COUNTY, FL",41551,FL
"TAYLOR COUNTY, FL",22570,FL
"UNION COUNTY, FL",15535,FL
"VOLUSIA COUNTY, FL",494593,FL
"WAKULLA COUNTY, FL",30776,FL
"WALTON COUNTY, FL",55043,FL
"WASHINGTON COUNTY, FL",24896,FL
"APPLING COUNTY, GA",18236,GA
"ATKINSON COUNTY, GA",8375,GA
"BACON COUNTY, GA",11096,GA
"BAKER COUNTY, GA",3451,GA
"BALDWIN COUNTY, GA",45720,GA
"BANKS COUNTY, GA",18395,GA
"BARROW COUNTY, GA",69367,GA
"BARTOW COUNTY, GA",100157,GA
"BEN HILL COUNTY, GA",17634,GA
