FIPS,COUNTY_NAME,STATE_FIPS,STATE
01000 ,"ALABAMA, AL",   01 ,AL
01001 ,"AUTAUGA COUNTY, AL",   01 ,AL
01003 ,"BALDWIN COUNTY, AL",   01 ,AL
01005 ,"BARBOUR COUNTY, AL",   01 ,AL
01007 ,"BIBB COUNTY, AL",   01 ,AL
01009 ,"BLOUNT COUNTY, AL",   01 ,AL
01011 ,"BULLOCK COUNTY, AL",   01 ,AL
01013 ,"BUTLER COUNTY, AL",   01 ,AL
01015 ,"CALHOUN COUNTY, AL",   01 ,AL
01017 ,"CHAMBERS COUNTY, AL",   01 ,AL
01019 ,"CHEROKEE COUNTY, AL",   01 ,AL
01021 ,"CHILTON COUNTY, AL",   01 ,AL
01023 ,"CHOCTAW COUNTY, AL",   01 ,AL
01025 ,"CLARKE COUNTY, AL",   01 ,AL
01027 ,"CLAY COUNTY, AL",   01 ,AL
01029 ,"CLEBURNE COUNTY, AL",   01 ,AL
01031 ,"COFFEE COUNTY, AL",   01 ,AL
01033 ,"COLBERT COUNTY, AL",   01 ,AL
01035 ,"CONECUH COUNTY, AL",   01 ,AL
01037 ,"COOSA COUNTY, AL",   01 ,AL
01039 ,"COVINGTON COUNTY, AL",   01 ,AL
01041 ,"CRENSHAW COUNTY, AL",   01 ,AL
01043 ,"CULLMAN COUNTY, AL",   01 ,AL
01045 ,"DALE COUNTY, AL",   01 ,AL
01047 ,"DALLAS COUNTY, AL",   01 ,AL
01049 ,"DEKALB COUNTY, AL",   01 ,AL
01051 ,"ELMORE COUNTY, AL",   01 ,AL
01053 ,"ESCAMBIA COUNTY, AL",   01 ,AL
01055 ,"ETOWAH COUNTY, AL",   01 ,AL
01057 ,"FAYETTE COUNTY, AL",   01 ,AL
01059 ,"FRANKLIN COUNTY, AL",   01 ,AL
01061 ,"GENEVA COUNTY, AL",   01 ,AL
01063 ,"GREENE COUNTY, AL",   01 ,AL
01065 ,"HALE COUNTY, AL",   01 ,AL
01067 ,"HENRY COUNTY, AL",   01 ,AL
01069 ,"HOUSTON COUNTY, AL",   01 ,AL
01071 ,"JACKSON COUNTY, AL",   01 ,AL
01073 ,"JEFFERSON COUNTY, AL",   01 ,AL
01075 ,"LAMAR COUNTY, AL",   01 ,AL
01077 ,"LAUDERDALE COUNTY, AL",   01 ,AL
01079 ,"LAWRENCE COUNTY, AL",   01 ,AL
01081 ,"LEE COUNTY, AL",   01 ,AL
01083 ,"LIMESTONE COUNTY, AL",   01 ,AL
01085 ,"LOWNDES COUNTY, AL",   01 ,AL
01087 ,"MACON COUNTY, AL",   01 ,AL
01089 ,"MADISON COUNTY, AL",   01 ,AL
01091 ,"MARENGO COUNTY, AL",   01 ,AL
01093 ,"MARION COUNTY, AL",   01 ,AL
01095 ,"MARSHALL COUNTY, AL",   01 ,AL
01097 ,"MOBILE COUNTY, AL",   01 ,AL
01099 ,"MONROE COUNTY, AL",   01 ,AL
01101 ,"MONTGOMERY COUNTY, AL",   01 ,AL
01103 ,"MORGAN COUNTY, AL",   01 ,AL
01105 ,"PERRY COUNTY, AL",   01 ,AL
01107 ,"PICKENS COUNTY, AL",   01 ,AL
01109 ,"PIKE COUNTY, AL",   01 ,AL
01111 ,"RANDOLPH COUNTY, AL",   01 ,AL
01113 ,"RUSSELL COUNTY, AL",   01 ,AL
01115 ,"ST. CLAIR COUNTY, AL",   01 ,AL
01117 ,"SHELBY COUNTY, AL",   01 ,AL
01119 ,"SUMTER COUNTY, AL",   01 ,AL
01121 ,"TALLADEGA COUNTY, AL",   01 ,AL
01123 ,"TALLAPOOSA COUNTY, AL",   01 ,AL
01125 ,"TUSCALOOSA COUNTY, AL",   01 ,AL
01127 ,"WALKER COUNTY, AL",   01 ,AL
01129 ,"WASHINGTON COUNTY, AL",   01 ,AL
01131 ,"WILCOX COUNTY, AL",   01 ,AL
01133 ,"WINSTON COUNTY, AL",   01 ,AL
04000 ,"ARIZONA, AZ",   04 ,AZ
04001 ,"APACHE COUNTY, AZ",   04 ,AZ
04003 ,"COCHISE COUNTY, AZ",   04 ,AZ
04005 ,"COCONINO COUNTY, AZ",   04 ,AZ
04007 ,"GILA COUNTY, AZ",   04 ,AZ
04009 ,"GRAHAM COUNTY, AZ",   04 ,AZ
04011 ,"GREENLEE COUNTY, AZ",   04 ,AZ
04012 ,"LA PAZ COUNTY, AZ",   04 ,AZ
04013 ,"MARICOPA COUNTY, AZ",   04 ,AZ
04015 ,"MOHAVE COUNTY, AZ",   04 ,AZ
04017 ,"NAVAJO COUNTY, AZ",   04 ,AZ
04019 ,"PIMA COUNTY, AZ",   04 ,AZ
04021 ,"PINAL COUNTY, AZ",   04 ,AZ
04023 ,"SANTA CRUZ COUNTY, AZ",   04 ,AZ
04025 ,"YAVAPAI COUNTY, AZ",   04 ,AZ
04027 ,"YUMA COUNTY, AZ",   04 ,AZ
06000 ,"CALIFORNIA, CA",   06 ,CA
06001 ,"ALAMEDA COUNTY, CA",   06 ,CA
06003 ,"ALPINE COUNTY, CA",   06 ,CA
06005 ,"AMADOR COUNTY, CA",   06 ,CA
06007 ,"BUTTE COUNTY, CA",   06 ,CA
06009 ,"CALAVERAS COUNTY, CA",   06 ,CA
06011 ,"COLUSA COUNTY, CA",   06 ,CA
06013 ,"CONTRA COSTA COUNTY, CA",   06 ,CA
06015 ,"DEL NORTE COUNTY, CA",   06 ,CA
06017 ,"EL DORADO COUNTY, CA",   06 ,CA
06019 ,"FRESNO COUNTY, CA",   06 ,CA
06021 ,"GLENN COUNTY, CA",   06 ,CA
06023 ,"HUMBOLDT COUNTY, CA",   06 ,CA
06025 ,"IMPERIAL COUNTY, CA",   06 ,CA
06027 ,"INYO COUNTY, CA",   06 ,CA
06029 ,"KERN COUNTY, CA",   06 ,CA
06031 ,"KINGS COUNTY, CA",   06 ,CA
06033 ,"LAKE COUNTY, CA",   06 ,CA
06035 ,"LASSEN COUNTY, CA",   06 ,CA
06037 ,"LOS ANGELES COUNTY, CA",   06 ,CA
06039 ,"MADERA COUNTY, CA",   06 ,CA
06041 ,"MARIN COUNTY, CA",   06 ,CA
06043 ,"MARIPOSA COUNTY, CA",   06 ,CA
06045 ,"MENDOCINO COUNTY, CA",   06 ,CA
06047 ,"MERCED COUNTY, CA",   06 ,CA
06049 ,"MODOC COUNTY, CA",   06 ,CA
06051 ,"MONO COUNTY, CA",   06 ,CA
06053 ,"MONTEREY COUNTY, CA",   06 ,CA
06055 ,"NAPA COUNTY, CA",   06 ,CA
06057 ,"NEVADA COUNTY, CA",   06 ,CA
06059 ,"ORANGE COUNTY, CA",   06 ,CA
06061 ,"PLACER COUNTY, CA",   06 ,CA
06063 ,"PLUMAS COUNTY, CA",   06 ,CA
06065 ,"RIVERSIDE COUNTY, CA",   06 ,CA
06067 ,"SACRAMENTO COUNTY, CA",   06 ,CA
06069 ,"SAN BENITO COUNTY, CA",   06 ,CA
06071 ,"SAN BERNARDINO COUNTY, CA",   06 ,CA
