COUNTY_NAME,FIPS,YEAR,STATE,DRUG,DEATHS
"ADA COUNTY, ID",016001,2003,ID,1,17
"ADA COUNTY, ID",016001,2004,ID,1,21
"ADA COUNTY, ID",016001,2005,ID,1,20
"ADA COUNTY, ID",016001,2006,ID,1,32
"ADA COUNTY, ID",016001,2007,ID,1,32
"ADA COUNTY, ID",016001,2008,ID,1,37
"ADA COUNTY, ID",016001,2009,ID,1,44
"ADA COUNTY, ID",016001,2010,ID,1,35
"ADA COUNTY, ID",016001,2011,ID,1,45
"ADA COUNTY, ID",016001,2012,ID,1,28
"ADA COUNTY, ID",016001,2013,ID,1,55
"ADA COUNTY, ID",016001,2014,ID,1,65
"ADA COUNTY, ID",016001,2015,ID,1,44
"AIKEN COUNTY, SC",045003,2003,SC,1,10
"AIKEN COUNTY, SC",045003,2004,SC,1,16
"AIKEN COUNTY, SC",045003,2005,SC,1,13
"AIKEN COUNTY, SC",045003,2006,SC,1,25
"AIKEN COUNTY, SC",045003,2007,SC,1,19
"AIKEN COUNTY, SC",045003,2008,SC,1,18
"AIKEN COUNTY, SC",045003,2009,SC,1,21
"AIKEN COUNTY, SC",045003,2010,SC,1,25
"AIKEN COUNTY, SC",045003,2011,SC,1,22
"AIKEN COUNTY, SC",045003,2012,SC,1,26
"AIKEN COUNTY, SC",045003,2013,SC,1,27
"AIKEN COUNTY, SC",045003,2014,SC,1,26
"AIKEN COUNTY, SC",045003,2015,SC,1,30
"ALACHUA COUNTY, FL",012001,2003,FL,1,11
"ALACHUA COUNTY, FL",012001,2007,FL,1,17
"ALACHUA COUNTY, FL",012001,2009,FL,1,15
"ALACHUA COUNTY, FL",012001,2010,FL,1,15
"ALACHUA COUNTY, FL",012001,2011,FL,1,14
"ALACHUA COUNTY, FL",012001,2012,FL,1,14
"ALACHUA COUNTY, FL",012001,2013,FL,1,12
"ALACHUA COUNTY, FL",012001,2014,FL,1,19
"ALACHUA COUNTY, FL",012001,2015,FL,1,23
"ALAMEDA COUNTY, CA",006001,2003,CA,1,124
"ALAMEDA COUNTY, CA",006001,2004,CA,1,154
"ALAMEDA COUNTY, CA",006001,2005,CA,1,172
"ALAMEDA COUNTY, CA",006001,2006,CA,1,182
"ALAMEDA COUNTY, CA",006001,2007,CA,1,185
"ALAMEDA COUNTY, CA",006001,2008,CA,1,157
"ALAMEDA COUNTY, CA",006001,2009,CA,1,153
"ALAMEDA COUNTY, CA",006001,2010,CA,1,131
"ALAMEDA COUNTY, CA",006001,2011,CA,1,167
"ALAMEDA COUNTY, CA",006001,2012,CA,1,133
"ALAMEDA COUNTY, CA",006001,2013,CA,1,174
"ALAMEDA COUNTY, CA",006001,2014,CA,1,165
"ALAMEDA COUNTY, CA",006001,2015,CA,1,210
"ALBANY COUNTY, NY",036001,2006,NY,1,11
"ALBANY COUNTY, NY",036001,2007,NY,1,28
"ALBANY COUNTY, NY",036001,2008,NY,1,15
"ALBANY COUNTY, NY",036001,2009,NY,1,10
"ALBANY COUNTY, NY",036001,2010,NY,1,24
"ALBANY COUNTY, NY",036001,2011,NY,1,26
"ALBANY COUNTY, NY",036001,2012,NY,1,13
"ALBANY COUNTY, NY",036001,2013,NY,1,29
"ALBANY COUNTY, NY",036001,2014,NY,1,25
"ALBANY COUNTY, NY",036001,2015,NY,1,27
"AMADOR COUNTY, CA",006005,2009,CA,1,13
"AMADOR COUNTY, CA",006005,2014,CA,1,11
"ANDERSON COUNTY, SC",045007,2003,SC,1,12
"ANDERSON COUNTY, SC",045007,2004,SC,1,18
"ANDERSON COUNTY, SC",045007,2005,SC,1,19
"ANDERSON COUNTY, SC",045007,2006,SC,1,18
"ANDERSON COUNTY, SC",045007,2007,SC,1,25
"ANDERSON COUNTY, SC",045007,2008,SC,1,29
"ANDERSON COUNTY, SC",045007,2009,SC,1,41
"ANDERSON COUNTY, SC",045007,2010,SC,1,33
"ANDERSON COUNTY, SC",045007,2011,SC,1,32
"ANDERSON COUNTY, SC",045007,2012,SC,1,28
"ANDERSON COUNTY, SC",045007,2013,SC,1,36
"ANDERSON COUNTY, SC",045007,2014,SC,1,35
"ANDERSON COUNTY, SC",045007,2015,SC,1,39
"ANDERSON COUNTY, TX",048001,2004,TX,1,11
"ANDERSON COUNTY, TX",048001,2006,TX,1,10
"ANDERSON COUNTY, TX",048001,2008,TX,1,10
"ARANSAS COUNTY, TX",048007,2006,TX,1,10
"BALDWIN COUNTY, AL",001003,2003,AL,1,10
"BALDWIN COUNTY, AL",001003,2004,AL,1,18
"BALDWIN COUNTY, AL",001003,2005,AL,1,14
"BALDWIN COUNTY, AL",001003,2006,AL,1,11
"BALDWIN COUNTY, AL",001003,2007,AL,1,24
"BALDWIN COUNTY, AL",001003,2008,AL,1,19
"BALDWIN COUNTY, AL",001003,2009,AL,1,29
"BALDWIN COUNTY, AL",001003,2010,AL,1,24
"BALDWIN COUNTY, AL",001003,2011,AL,1,23
"BALDWIN COUNTY, AL",001003,2012,AL,1,24
"BALDWIN COUNTY, AL",001003,2013,AL,1,20
"BALDWIN COUNTY, AL",001003,2014,AL,1,32
"BALDWIN COUNTY, AL",001003,2015,AL,1,40
"BANNOCK COUNTY, ID",016005,2009,ID,1,11
"BANNOCK COUNTY, ID",016005,2010,ID,1,11
"BANNOCK COUNTY, ID",016005,2011,ID,1,11
"BANNOCK COUNTY, ID",016005,2012,ID,1,13
"BANNOCK COUNTY, ID",016005,2013,ID,1,11
"BANNOCK COUNTY, ID",016005,2014,ID,1,22
"BARROW COUNTY, GA",013013,2006,GA,1,10
